110	0	263.41216299999996
110	1	253.47810699999997
110	7	250.72480299999998
110	8	243.53319199999999
110	9	242.89810699999998
110	10	238.471465
110	12	214.130959
110	17	211.63061
110	19	202.827236
110	20	195.694908
110	24	184.89299
110	26	173.672067
110	31	155.301389
110	38	142.483873
110	39	139.544942
110	40	111.775292
110	58	109.853657
110	59	94.804047
110	66	87.814587
110	74	84.244001
110	77	80.253584
110	78	67.713955
110	84	63.926753000000005
110	85	55.022016
110	87	51.556033
110	89	49.224828
110	93	45.161447
110	97	42.137081
110	99	32.807957
110	100	27.856798
110	102	23.566244
110	104	22.106181
110	106	17.583886
110	107	13.992249
110	110	0.0
